,Country,Elect_tech,Grid_status,2008 Gen Est,2009 Gen Est,2010 Gen Est,2011 Gen Est,2012 Gen Est,2013 Gen Est,2014 Gen Est,2015 Gen Est,2016 Gen Est,2017 Gen Est,2018 Gen Est,2019 Gen Est
371,France,Marine energy,On-grid,465.119,448.197,476.397,477.278,457.986,413.572,480.507,487.418,500.516,521.706,479.93,478.964
372,France,Nuclear,On-grid,439447.0,409736.0,428521.0,442387.763,425406.017,423684.671,436479.009,437427.808,403195.482,398359.129,412941.812,399011.587
373,France,On-grid Solar photovoltaic,On-grid,41.692,173.971,620.0,2333.804,4427.936,5193.596,6391.572,7753.737,8659.765,9586.316,10832.565,12150.993
374,France,Onshore wind energy,On-grid,5694.21,7911.57,9944.99,12371.621,15178.4,16126.736,17323.779,21420.602,21380.984,24609.437,28598.595,34721.684
375,France,Other non-renewable energy,On-grid,2159.0,2325.0,2165.0,2727.163,3002.282,3043.667,2976.254,2995.353,2942.406,3138.769,3024.75,2961.202
376,France,Pumped storage,On-grid,4714.0,4972.0,4812.0,5149.152,4928.872,5150.529,5797.381,4957.091,4846.338,5133.653,5360.689,4658.767
377,France,Renewable hydropower,On-grid,63653.661,56994.2,62713.617,45744.622,59831.83,71922.175,63773.409,55556.272,60839.21,50001.257,65111.426,56913.891
378,France,Renewable municipal waste,On-grid,1863.0,2020.0,1973.0,2079.048,2148.233,2124.886,2083.754,2025.672,2121.882,2205.133,2202.133,2172.598
379,France,Solid biofuels,On-grid,1413.0,1235.0,1463.0,1810.426,1854.709,2013.718,2308.931,2665.222,3407.727,3462.215,3806.136,3883.817
380,French Guiana,Fossil fuels,Off-grid,9.432,11.337,12.231,14.052,15.873,15.873,15.873,15.873,15.873,15.873,15.873,15.873
381,French Guiana,Fossil fuels,On-grid,246.1,433.7,356.0,322.8,266.0,349.0,359.0,377.0,413.113,296.91,328.847,475.871
382,French Guiana,Off-grid Solar photovoltaic,Off-grid,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282
383,French Guiana,On-grid Solar photovoltaic,On-grid,,2.3,3.1,37.1,52.0,44.0,52.0,54.0,52.175,51.847,51.374,50.533
384,French Guiana,Renewable hydropower,Off-grid,3.889,3.889,3.889,3.889,3.889,3.889,3.889,3.889,3.889,3.889,3.889,3.889
385,French Guiana,Renewable hydropower,On-grid,503.0,352.0,462.0,464.0,556.0,490.0,500.0,493.0,435.306,563.887,535.831,408.996
386,French Guiana,Solid biofuels,On-grid,,,7.9,12.1,11.5,12.8,11.9,12.0,11.776,10.369,10.519,9.915
387,French Polynesia,Fossil fuels,Off-grid,137.841,139.386,140.296,133.038,135.791,132.069,146.481,145.833,155.099,155.829,162.486,153.977
388,French Polynesia,Fossil fuels,On-grid,393.09,413.944,350.704,354.962,367.209,359.931,326.519,324.167,315.901,318.171,325.514,339.423
389,French Polynesia,Off-grid Solar photovoltaic,Off-grid,2.191,2.285,1.4,1.5,1.5,1.6,2.7,2.9,3.0,3.5,3.5,3.8
390,French Polynesia,On-grid Solar photovoltaic,On-grid,0.942,1.118,3.0,8.2,12.5,16.4,24.6,29.0,29.9,32.1,33.9,36.2
391,French Polynesia,Onshore wind energy,Off-grid,0.34,0.285,0.266,0.113,0.093,0.092,0.077,0.078,0.078,0.078,0.078,0.078
392,French Polynesia,Renewable hydropower,On-grid,157.658,154.525,211.0,175.0,160.0,152.0,166.954,167.012,184.004,176.388,164.943,160.335
393,Gabon,Fossil fuels,On-grid,673.842,708.0,845.0,998.0,1057.0,958.0,980.0,989.0,1158.0,957.0,840.0,840.0
394,Gabon,Off-grid Solar photovoltaic,Off-grid,0.55,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
395,Gabon,Renewable hydropower,Off-grid,1.052,1.111,1.067,0.988,1.068,0.701,0.935,1.08,1.387,1.387,1.387,1.387
396,Gabon,Renewable hydropower,On-grid,965.258,944.0,907.0,840.0,908.0,936.0,794.0,918.0,821.0,914.0,981.0,981.0
